Category: All categories

Region,Red Ledges Golf Club: (9/8/24 - 9/8/25)
Utah,100
Colorado,6
California,<1
Alaska,
Wyoming,
Arkansas,
Connecticut,
District of Columbia,
Delaware,
Florida,
Georgia,
Hawaii,
Iowa,
Idaho,
Illinois,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
New York,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Texas,
Alabama,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Arizona,
